"SLA_SPEI","Date of Flowering_SPEI","SLA_CMDA","Date of Flowering_CMDA","SLA_MAPA","Date of Flowering_MAPA","SLA_MATA","Date of Flowering_MATA"
"lag 0",4.07466545138141,5.7330617164107,4.28356524132914,2.02653782450989,1.11080826477246,0.293993944895647,3.45697525446622,0.903658203489158
"lag 1",0,0,0,0,0.6979942508774,0.265439069638433,2.30092592505025,0.516024903783546
"lag 2",0.38098234705285,6.70941908450231,0.612472493202404,0.608839005170012,0,1.70133746903048,0,0
"lag 0,1",4.48162743351531,1.59033700676036,4.59394313643634,2.34322366692959,2.15847080319145,0.048495535906568,2.89551463692806,2.08249556346163
"lag 0,1,2",3.35471012828702,1.68153782278932,2.94150458216836,2.59537187924252,2.2918636908089,0,0.276515553287481,2.53123563376221
