Site,ID,ID2,Site_Lat,Lat,Long,Region,Lat_spei,Long_spei,SPEI_auto,CMDA_auto,MAPA_auto,MATA_auto,SPEI_mean,CMDA_mean,MAPA_mean,MATA_mean,change_SLA_W,change_SLA_D,change_DF_W,change_DF_D,abs_change_SLA_W,abs_change_SLA_D,abs_change_DF_W,abs_change_DF_D,time_range
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013_2015
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013_2015
2,S07,West Fork Mojave River,2_34.3,34.28425,-117.37539,South,34.25,-117.25,-0.3130815398088047,-0.22590503055947356,-0.46929740212494314,-0.4809427722661579,-1.21169964472453,57.30000000000033,0.238721923920688,1.2147222222222334,15.599811478219323,14.923165133236097,-2.0416666666666714,3.717171717171709,15.599811478219323,14.923165133236097,2.0416666666666714,3.717171717171709,2014_2016
3,S10,North Fork Middle Fork Tule,3_36.2,36.20081,-118.65092,Centre,36.25,-118.75,-0.021429525439500656,-0.10443155624953525,-0.008335860709388567,-0.5212364322793347,-0.896896446744602,23.366666666666703,0.17493960181676227,1.2741666666666334,-74.26430789574826,18.423367412398846,-8.108870967741936,-5.779487179487177,74.26430789574826,18.423367412398846,8.108870967741936,5.779487179487177,2014_2016
5,S32,Wawona,5_37.5,37.539,-119.654,Centre,35.75,-119.75,-0.036072418599046134,-0.10296634341129494,-0.0023085642248750005,-0.5500616957517973,-1.1757745742797856,45.4,0.1343064953172252,1.4147222222222333,32.85413752988728,-15.031928062584768,-1.6630434782608745,-2.9166666666666714,32.85413752988728,15.031928062584768,1.6630434782608745,2.9166666666666714,2014_2016
6,S29,Oregon Creek,6_39.4,39.39442,-121.08302,Centre,39.25,-121.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014_2016
7,S18,Little Jameson Creek,7_39.7,39.74298,-120.70401,Centre,39.75,-120.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014_2016
8,S17,Deep Creek,8_41.7,41.66546,-123.11341,North,41.75,-123.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014_2016
9,S16,O'Neil Creek,9_41.8,41.80979,-123.11887,North,41.75,-123.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014_2016
10,S36,Deer Creek,10_42.3,42.27411,-123.63617,North,42.25,-123.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014_2016
11,S15,Rock Creek,11_43.4,43.37876,-122.95207,North,43.25,-122.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014_2016
