"SLA","Date of Flowering","SLA","Date of Flowering","SLA","Date of Flowering","SLA","Date of Flowering"
"lag 0",10070.9740166633,7657.46706608183,10089.3674118341,7674.4132639784,10064.6175865824,7649.77555607533,10071.7227909543,7657.11691619166
"lag 1",10069.8943507387,7659.18753096282,10090.5108796083,7674.05355721762,10062.6128550142,7650.93749316386,10070.2867211757,7657.13267134853
"lag 2",10069.1606809787,7657.19388075526,10089.2115413251,7673.23156402557,10064.0508326969,7648.6958770422,10070.9566988339,7655.47912945346
"lag 0,1",10072.6920475212,7660.24579553599,10091.9689641962,7676.35108543794,10067.1602866928,7651.73925606937,10073.469890981,7660.04481373357
"lag 0,1,2",10071.5143878481,7661.45197422939,10091.0644573435,7678.0012275209,10066.476378805,7652.84797064529,10074.863268807,7661.20641912779
