"SLA_SPEI","Date of Flowering_SPEI","SLA_CMDA","Date of Flowering_CMDA","SLA_MAPA","Date of Flowering_MAPA","SLA_MATA","Date of Flowering_MATA"
"lag 0",0,2.29103508086246,0,0.975118466048116,0,0,1.15440918769445,1.22978392176537
"lag 1",6.7568114163505,3.35850386930633,4.0162609744566,1.02555006325656,1.55757156665777,0.58863276944885,1.85431077329986,0.670215003153771
"lag 2",6.36996702161196,0,3.41430296462295,0,1.23160451082913,0.466967261900663,0,0
"lag 0,1",5.93768924076358,4.17747727125607,4.99834771567566,2.38360705546347,2.31711755391416,2.43010894627469,2.65738535910305,2.63838427386008
"lag 0,1,2",6.8669142648796,4.79766460928022,5.363305222696,2.86070461112922,2.7076769492046,2.73882290336496,2.37425114729785,3.12110935104647
