"","Site","Year.x","Elevation","ID.x","ID_Year","Latitude","Longitude","MAT.weath","MAP.weath","CMD.weath","MAT.weath.1","MAP.weath.1","CMD.weath.1","MAT.weath.2","MAP.weath.2","CMD.weath.2","log.MAP.weath","log.MAP.weath.1","log.MAP.weath.2","MAT.clim","MAP.clim","CMD.clim","CMDA_lag0","CMDA_lag1","CMDA_lag2","CMDA_lag01","CMDA_lag012","MATA_lag0","MATA_lag1","MATA_lag2","MATA_lag01","MATA_lag012","MAPA_lag0","MAPA_lag1","MAPA_lag2","MAPA_lag01","MAPA_lag012","Paper_ID","ID.y","Site_Lat","Year.y","SPEI_lag0","SPEI_lag1","SPEI_lag2","SPEI_lag01","SPEI_lag012"
"1","S02",2010,1168,"S02","S02_2010",32.89928,-116.5849,13.4083333333333,728,987,14.3,382,1141,13.7833333333333,402,1083,2.86213137931304,2.58206336291171,2.60422605308447,13.9913888888889,628.033333333333,1017.53333333333,-30.53333333333,123.46666666667,65.46666666667,92.93333333334,158.40000000001,-0.583055555555601,0.3086111111111,-0.208055555555601,-0.274444444444502,-0.482500000000103,0.0641486844635031,-0.215919331937825,-0.193756641765064,-0.151770647474322,-0.345527289239386,1,"S02","1_32.9","2010",0.897903144359589,-0.9985431432724,-0.538657903671265,-0.100639998912811,-0.639297902584076
"2","S07",2010,1092,"S07","S07_2010",34.28425,-117.375389,13.85,753,940,14.6583333333333,423,1062,14.2916666666667,548,1001,2.8767949762007,2.62634036737504,2.73878055848437,14.5047222222222,649.6,967.033333333333,-27.033333333333,94.966666666667,33.966666666667,67.9333333333341,101.900000000001,-0.654722222222201,0.153611111111099,-0.213055555555501,-0.501111111111102,-0.714166666666603,0.0641489599675817,-0.186305648858077,-0.0738654577487496,-0.122156688890495,-0.196022146639244,2,"S07","2_34.3","2010",0.953803718090057,-0.777251183986664,-0.115245223045349,0.176552534103394,0.0613073110580444
"3","S08",2010,1682,"S08","S08_2010",36.69096,-118.909607,9.46666666666667,1014,674,10.4166666666667,642,721,10.1,777,824,3.00603795499732,2.80753502806885,2.89042101880091,10.0669444444444,969.433333333333,691.4,-17.4,29.6,132.6,12.2,144.8,-0.60027777777773,0.349722222222299,0.0330555555555989,-0.250555555555431,-0.217499999999832,0.0195200064211352,-0.178982920507329,-0.0960969297752681,-0.159462914086194,-0.255559843861462,4,"S08","4_36.7","2010",0.993451297283173,-0.234104260802269,-0.0504385717213154,0.759347036480904,0.708908464759588
"4","S10",2010,1288,"S10","S10_2010",36.20081,-118.650917,12.35,894,769,13.2666666666667,560,847,12.925,641,930,2.95133751879592,2.7481880270062,2.80685802951882,12.8841666666667,860.833333333333,803.3,-34.3,43.7,126.7,9.40000000000009,136.1,-0.5341666666667,0.3825,0.0408333333333015,-0.151666666666699,-0.110833333333398,0.0164184433239223,-0.186731048465795,-0.128061045953178,-0.170312605141873,-0.298373651095051,3,"S10","3_36.2","2010",1.11241710186005,-0.203991413116455,0.0766367688775063,0.908425688743591,0.985062457621098
"5","S11",2010,1990,"S11","S11_2010",34.07808,-116.87558,8.01666666666667,920,738,8.89166666666667,512,902,8.48333333333333,613,823,2.96378782734556,2.70926996097583,2.78746047451842,8.65444444444444,782.2,763.366666666667,-25.366666666667,138.633333333333,59.633333333333,113.266666666666,172.899999999999,-0.637777777777771,0.237222222222229,-0.171111111111109,-0.400555555555542,-0.571666666666651,0.0704700157294433,-0.184047850640281,-0.105857337097697,-0.113577834910838,-0.219435172008534,12,"S11","12_34.1","2010",0.864541113376617,-0.746492981910706,-0.176323130726814,0.118048131465912,-0.0582749992609024
"6","S15",2010,1168,"S15","S15_2010",43.37876,-122.952072,9.91666666666667,2734,251,10.2333333333333,2133,336,9.58333333333333,2583,404,3.4367985102318,3.32899085544943,3.41212440617332,10.2619444444444,2547.8,333.033333333333,-82.033333333333,2.96666666666698,70.966666666667,-79.066666666666,-8.09999999999906,-0.34527777777773,-0.0286111111110987,-0.678611111111069,-0.373888888888828,-1.0524999999999,0.0306331769552504,-0.0771744778271244,0.00595907289676401,-0.046541300871874,-0.04058222797511,11,"S15","11_43.4","2010",0.715335011482239,-0.926919460296631,0.0871511995792389,-0.211584448814392,-0.124433249235153
"7","S16",2010,1092,"S16","S16_2010",41.80979,-123.118874,10.7666666666667,858,554,11.3,639,695,10.6583333333333,884,699,2.9334872878487,2.8055008581584,2.94645226501307,11.1744444444444,966.1,655.066666666667,-101.066666666667,39.933333333333,43.933333333333,-61.1333333333339,-17.2000000000008,-0.407777777777701,0.1255555555556,-0.516111111111101,-0.282222222222101,-0.798333333333202,-0.0515347942608297,-0.179521223951135,-0.0385698170964619,-0.231056018211965,-0.269625835308426,9,"S16","9_41.8","2010",-0.0135957170277834,-1.30438601970673,-0.350667923688888,-1.31798173673451,-1.6686496604234
"8","S17",2010,680,"S17","S17_2010",41.66546,-123.113411,12.0583333333333,164,927,12.6083333333333,126,1014,11.9583333333333,142,1002,2.2148438480477,2.10037054511756,2.15228834438306,12.4708333333333,173.266666666667,996.4,-69.4,17.6,5.60000000000002,-51.8,-46.1999999999999,-0.4125,0.137500000000001,-0.512499999999999,-0.274999999999999,-0.787499999999998,-0.0238711723976341,-0.138344475327769,-0.0864266760622758,-0.162215647725403,-0.248642323787679,8,"S17","8_41.7","2010",-0.0135957170277834,-1.30438601970673,-0.350667923688888,-1.31798173673451,-1.6686496604234
"9","S18",2010,1593,"S18","S18_2010",39.74298,-120.70401,8.19166666666667,1310,574,9.16666666666667,1121,615,8.60833333333333,834,762,3.11727129565576,3.04960561259497,2.92116605063774,8.71388888888889,1361.56666666667,633.466666666667,-59.466666666667,-18.466666666667,128.533333333333,-77.9333333333341,50.5999999999989,-0.52222222222222,0.452777777777779,-0.10555555555556,-0.0694444444444411,-0.175000000000001,-0.0167676149902043,-0.0844332980509956,-0.21287286000823,-0.1012009130412,-0.31407377304943,7,"S18","7_39.7","2010",0.330176442861557,-0.59133505821228,-1.14935398101807,-0.261158615350723,-1.41051259636879
"10","S29",2010,440,"S29","S29_2010",39.39442,-121.083023,15.1,1377,756,16.0083333333333,1056,860,15.4833333333333,892,990,3.13893394025692,3.02366391819779,2.95036485437612,15.5572222222222,1412.4,854.833333333333,-98.833333333333,5.16666666666697,135.166666666667,-93.6666666666661,41.5000000000009,-0.4572222222222,0.451111111111102,-0.0738888888888987,-0.00611111111109786,-0.0799999999999965,-0.0110237686341361,-0.126293790693266,-0.199592854514937,-0.137317559327403,-0.336910413842339,6,"S29","6_39.4","2010",0.591788411140442,-0.582924783229828,-0.805928826332092,0.00886362791061401,-0.797065198421478
"11","S32",2010,1214,"S32","S32_2010",37.539,-119.653999,11.8416666666667,1008,757,12.875,756,828,12.475,803,959,3.00346053210951,2.87852179550121,2.90471554527868,12.3713888888889,1059.66666666667,807.6,-50.6,20.4,151.4,-30.2,121.2,-0.529722222222199,0.5036111111111,0.1036111111111,-0.0261111111110992,0.0775000000000006,-0.0217087410856052,-0.146647477693906,-0.120453727916431,-0.168356218779511,-0.288809946695942,5,"S32","5_37.5","2010",1.47927594184875,-0.144024387001991,0.304770410060883,1.33525155484676,1.64002196490765
"12","S36",2010,393,"S36","S36_2010",42.27411,-123.636169,11.7,1426,594,12.15,1066,762,11.5083333333333,1398,771,3.15411952551585,3.02775720469055,3.14550717140966,12.1025,1519.13333333333,713.666666666667,-119.666666666667,48.333333333333,57.333333333333,-71.3333333333339,-14.0000000000009,-0.4025,0.0475000000000012,-0.594166666666698,-0.354999999999999,-0.949166666666697,-0.027476367760805,-0.153838688586098,-0.0360887218669892,-0.181315056346903,-0.217403778213892,10,"S36","10_42.3","2010",0.0827603042125702,-1.31461274623871,-0.344065368175507,-1.23185244202614,-1.57591781020164
"13","S02",2011,1168,"S02","S02_2011",32.89928,-116.5849,13.7666666666667,717,862,13.4083333333333,728,987,14.3,382,1141,2.8555191556678,2.86213137931304,2.58206336291171,13.9913888888889,628.033333333333,1017.53333333333,-155.53333333333,-30.53333333333,123.46666666667,-186.06666666666,-62.59999999999,-0.224722222222201,-0.583055555555601,0.3086111111111,-0.807777777777803,-0.499166666666703,0.057536460818266,0.0641486844635031,-0.215919331937825,0.121685145281769,-0.0942341866560561,1,"S02","1_32.9","2011",0.510002851486206,0.897903144359589,-0.9985431432724,1.40790599584579,0.409362852573395
"14","S07",2011,1092,"S07","S07_2011",34.28425,-117.375389,14.1416666666667,730,824,13.85,753,940,14.6583333333333,423,1062,2.86332286012046,2.8767949762007,2.62634036737504,14.5047222222222,649.6,967.033333333333,-143.033333333333,-27.033333333333,94.966666666667,-170.066666666666,-75.0999999999989,-0.363055555555501,-0.654722222222201,0.153611111111099,-1.0177777777777,-0.864166666666604,0.0506768438873371,0.0641489599675817,-0.186305648858077,0.114825803854919,-0.0714798450031577,2,"S07","2_34.3","2011",0.716030359268188,0.953803718090057,-0.777251183986664,1.66983407735825,0.892582893371582
"15","S08",2011,1682,"S08","S08_2011",36.69096,-118.909607,9.64166666666667,1147,623,9.46666666666667,1014,674,10.4166666666667,642,721,3.05956341790127,3.00603795499732,2.80753502806885,10.0669444444444,969.433333333333,691.4,-68.4,-17.4,29.6,-85.8,-56.1999999999999,-0.425277777777731,-0.60027777777773,0.349722222222299,-1.02555555555546,-0.675833333333163,0.0730454693250855,0.0195200064211352,-0.178982920507329,0.0925654757462206,-0.0864174447611084,4,"S08","4_36.7","2011",1.25245761871338,0.993451297283173,-0.234104260802269,2.24590891599655,2.01180465519428
"16","S10",2011,1288,"S10","S10_2011",36.20081,-118.650917,12.4833333333333,979,723,12.35,894,769,13.2666666666667,560,847,2.99078269180314,2.95133751879592,2.7481880270062,12.8841666666667,860.833333333333,803.3,-80.3,-34.3,43.7,-114.6,-70.8999999999999,-0.400833333333399,-0.5341666666667,0.3825,-0.935000000000098,-0.552500000000098,0.0558636163311421,0.0164184433239223,-0.186731048465795,0.0722820596550644,-0.114448988810731,3,"S10","3_36.2","2011",1.18173742294312,1.11241710186005,-0.203991413116455,2.29415452480316,2.09016311168671
"17","S11",2011,1990,"S11","S11_2011",34.07808,-116.87558,8.36666666666667,907,633,8.01666666666667,920,738,8.89166666666667,512,902,2.9576072870601,2.96378782734556,2.70926996097583,8.65444444444444,782.2,763.366666666667,-130.366666666667,-25.366666666667,138.633333333333,-155.733333333334,-17.100000000001,-0.28777777777777,-0.637777777777771,0.237222222222229,-0.92555555555554,-0.688333333333311,0.0642894754439833,0.0704700157294433,-0.184047850640281,0.134759491173427,-0.0492883594668543,12,"S11","12_34.1","2011",0.639967262744904,0.864541113376617,-0.746492981910706,1.50450837612152,0.758015394210815
"18","S15",2011,1168,"S15","S15_2011",43.37876,-122.952072,9.88333333333333,3008,336,9.91666666666667,2734,251,10.2333333333333,2133,336,3.4782778319196,3.4367985102318,3.32899085544943,10.2619444444444,2547.8,333.033333333333,2.96666666666698,-82.033333333333,2.96666666666698,-79.066666666666,-76.0999999999991,-0.37861111111107,-0.34527777777773,-0.0286111111110987,-0.7238888888888,-0.752499999999898,0.0721124986430515,0.0306331769552504,-0.0771744778271244,0.102745675598302,0.0255711977711774,11,"S15","11_43.4","2011",1.11125934123993,0.715335011482239,-0.926919460296631,1.82659435272217,0.899674892425537
"19","S16",2011,1092,"S16","S16_2011",41.80979,-123.118874,10.9,1092,565,10.7666666666667,858,554,11.3,639,695,3.03822263836872,2.9334872878487,2.8055008581584,11.1744444444444,966.1,655.066666666667,-90.066666666667,-101.066666666667,39.933333333333,-191.133333333334,-151.200000000001,-0.2744444444444,-0.407777777777701,0.1255555555556,-0.682222222222101,-0.556666666666501,0.0532005562591835,-0.0515347942608297,-0.179521223951135,0.00166576199835378,-0.177855461952781,9,"S16","9_41.8","2011",0.638083934783936,-0.0135957170277834,-1.30438601970673,0.624488217756152,-0.679897801950574
"20","S17",2011,680,"S17","S17_2011",41.66546,-123.113411,12.2,182,926,12.0583333333333,164,927,12.6083333333333,126,1014,2.26007138798507,2.2148438480477,2.10037054511756,12.4708333333333,173.266666666667,996.4,-70.4,-69.4,17.6,-139.8,-122.2,-0.2708333333333,-0.4125,0.137500000000001,-0.6833333333333,-0.545833333333299,0.0213563675397426,-0.0238711723976341,-0.138344475327769,-0.00251480485789157,-0.140859280185661,8,"S17","8_41.7","2011",0.638083934783936,-0.0135957170277834,-1.30438601970673,0.624488217756152,-0.679897801950574
"21","S18",2011,1593,"S18","S18_2011",39.74298,-120.70401,8.475,1671,548,8.19166666666667,1310,574,9.16666666666667,1121,615,3.22297644989339,3.11727129565576,3.04960561259497,8.71388888888889,1361.56666666667,633.466666666667,-85.466666666667,-59.466666666667,-18.466666666667,-144.933333333334,-163.400000000001,-0.238888888888891,-0.52222222222222,0.452777777777779,-0.761111111111111,-0.308333333333332,0.0889375392474228,-0.0167676149902043,-0.0844332980509956,0.0721699242572185,-0.0122633737937772,7,"S18","7_39.7","2011",1.13096833229065,0.330176442861557,-0.59133505821228,1.46114477515221,0.869809716939926
"22","S29",2011,440,"S29","S29_2011",39.39442,-121.083023,15.3666666666667,1689,774,15.1,1377,756,16.0083333333333,1056,860,3.22762964957101,3.13893394025692,3.02366391819779,15.5572222222222,1412.4,854.833333333333,-80.833333333333,-98.833333333333,5.16666666666697,-179.666666666666,-174.499999999999,-0.1905555555555,-0.4572222222222,0.451111111111102,-0.6477777777777,-0.196666666666598,0.0776719406799491,-0.0110237686341361,-0.126293790693266,0.066648172045813,-0.0596456186474534,6,"S29","6_39.4","2011",0.85214638710022,0.591788411140442,-0.582924783229828,1.44393479824066,0.861010015010834
"23","S32",2011,1214,"S32","S32_2011",37.539,-119.653999,12.125,1331,731,11.8416666666667,1008,757,12.875,756,828,3.12417805547468,3.00346053210951,2.87852179550121,12.3713888888889,1059.66666666667,807.6,-76.6,-50.6,20.4,-127.2,-106.8,-0.2463888888889,-0.529722222222199,0.5036111111111,-0.776111111111099,-0.272499999999999,0.0990087822795633,-0.0217087410856052,-0.146647477693906,0.0773000411939582,-0.0693474364999473,5,"S32","5_37.5","2011",1.64948976039886,1.47927594184875,-0.144024387001991,3.12876570224762,2.98474131524563
