"SLA","Date of Flowering","SLA","Date of Flowering","SLA","Date of Flowering","SLA","Date of Flowering"
"lag 0",25445.008888759,20043.7239163753,25509.6652033219,20094.0669823761,25425.4945237992,20018.8626773452,25450.3370085376,20046.4453311306
"lag 1",25453.0970987559,20040.7667724342,25508.3033819658,20085.5973020161,25428.0530012253,20014.4735908817,25454.3083452963,20042.7126479825
"lag 2",25448.8972252941,20044.453154686,25503.2106545508,20092.5059591007,25427.1371268107,20013.6827510514,25453.2578152736,20039.0033981036
"lag 0,1",25457.8811120394,20050.9971558323,25517.4520680878,20098.3144122471,25437.2676580338,20020.0042765158,25460.5988631532,20055.1930988104
"lag 0,1,2",25456.748610591,20054.4767392259,25517.2197793413,20100.3535789587,25435.2454179254,20022.1064393232,25464.9809776499,20058.3018014843
