"SLA","Date of Flowering","SLA","Date of Flowering","SLA","Date of Flowering","SLA","Date of Flowering"
"lag 0",0,2.95714394105744,0,7.4419330270357,0,5.17992629377113,6.45454877118027,8.46968036007456
"lag 1",8.08820999683303,0,3.97133675867735,3.70924987894978,2.55847742612605,0.790839830267942,5.09272741502718,0
"lag 2",3.88833653505935,3.68638225176619,2.92080673598321,0,1.64260301155446,0,0,6.90865708465935
"lag 0,1",12.8722232803339,10.2303833980586,10.2618546155318,16.189700706851,11.773134234616,6.32152546439102,14.2414135370236,12.7171102310203
"lag 0,1,2",11.7397218319893,13.7099667917137,14.6439691122832,19.2984033807734,9.75089412617308,8.42368827177415,14.0091247905584,14.7562769426404
