"SLA_SPEI","Date of Flowering_SPEI","SLA_CMDA","Date of Flowering_CMDA","SLA_MAPA","Date of Flowering_MAPA","SLA_MATA","Date of Flowering_MATA"
"lag 0",0,0,0,0,0.170906808430573,0.220299518555748,0.249622554008965,0.277957972520653
"lag 1",2.82722844541649,0.956822992072375,1.73620082310526,4.71285438192263,0.0285766631609476,0,0.0518562146098702,0.903451347175633
"lag 2",2.69563178877843,0.805095973123116,1.91294685136336,4.03961185918433,0,0.979932184204245,0,0
"lag 0,1",2.66879334629948,1.87550634389436,1.56114324605278,4.48081238877421,1.71197527645381,0.628796713043357,1.37846571140017,2.14111642846092
"lag 0,1,2",3.27665819387903,2.22546747144588,2.40200675168126,5.3627915609236,1.91866683684293,0.807579916523991,1.59823297992034,2.47557365340072
