,SPEI,CMDA,MAPA,MATA,SPEI,CMDA,MAPA,MATA,SPEI,CMDA,MAPA,MATA,SPEI,CMDA,MAPA,MATA
1,2.429114176,17.61126795,0,9.279638256,4.772970649,14.77044062,1.135891711,6.717638251,8.890937262,18.85542674,3.991783357,9.662300443,7.201054917,17.14194069,0.362553341,8.025205251
2,9.042388318,18.63940248,3.938048929,9.327910991,6.314739886,15.32723221,1.823756872,6.154542809,9.230920243,17.86421561,4.971876396,9.474666457,6.971431904,16.68838933,1.424445983,7.864351882
3,8.613263115,15.12635863,3.266088193,8.306469785,5.997976259,15.18543097,0,5.486022783,6.495747336,14.37975611,0,6.997166765,7.193024827,16.28582169,1.279908381,5.930366566
4,8.242435228,19.46941875,4.920614205,10.69220303,7.09234902,17.17437445,2.639805251,8.121603637,9.634629465,19.34023902,5.620910597,10.81082446,7.375286166,18.26039596,0,9.149757584
5,9.204848999,20.08116872,5.282320006,11.16975318,7.474757197,17.48096462,2.343529488,8.605272894,10.4321323,20.2764998,5.310019965,11.27476216,7.826027081,18.6064117,1.4953987,9.503880421
6,4.083558572,13.61541861,1.950068433,3.976150298,4.602543131,13.03257803,0.028860583,3.957348425,4.871562924,13.40971336,1.039974332,4.944657987,5.46137166,13.75054052,0.809797543,6.114035179
7,4.93698725,14.04295255,1.932614183,3.237387699,4.784221912,11.80637088,0.660936693,3.992140606,5.308434931,13.91190106,0,4.855420859,7.142070377,15.29268308,2.955672899,4.95333347
8,2.710164338,13.89642906,0,3.714160223,4.337038786,12.51575384,0,3.393676192,5.788665587,13.98054708,1.388321669,4.477004744,4.459325188,12.41574189,0,3.836034353
9,4.611961101,14.60355972,2.509128385,4.298180432,5.672681664,13.46156623,1.206234538,5.121045132,6.678903359,14.65998316,2.149402916,6.248551494,7.698559345,15.64461246,2.563093211,7.597302665
10,3.553339385,13.52768576,1.317218931,5.08415446,6.009144638,14.26668557,0.870961337,5.67795259,7.307435721,15.11939463,2.291509691,6.841079114,8.633199994,16.29036355,4.046591834,7.857458791
11,8.182947162,15.86429372,4.283565274,7.580140519,7.92583261,15.1691577,3.449875896,7.641901743,2.719262652,13.81418912,0,0.237275921,3.738401751,12.47098294,0.245367171,2.985546996
12,4.108281716,10.13123201,0,5.553602638,7.517630638,15.14403242,2.303336235,7.258437047,5.500835726,14.8410702,1.682511734,5.198559565,3.495620362,12.27796019,0.025030842,3.525409017
13,4.489264055,16.84065097,0.612472503,6.162441732,6.817943385,16.57292388,0,6.739285989,5.387707791,14.64463868,1.924203178,4.549192136,3.533532413,13.27451398,0,2.66031632
14,8.589909891,11.72156866,4.593943026,7.896826222,8.974413386,14.93241549,2.893439601,8.822631474,5.296299495,15.7152398,1.451687238,4.812859882,5.248333107,12.8679188,1.371326315,4.813538963
15,7.46299184,11.81276984,2.941504593,8.148974465,9.109875961,14.88693506,0.27871327,9.270908801,5.839737012,16.0870748,2.228150667,5.722883363,5.455841879,13.08584523,1.592886179,5.153966417
