"SLA","Date of Flowering","SLA","Date of Flowering","SLA","Date of Flowering","SLA","Date of Flowering"
"lag 0",0,3.73365203361118,5.42860786234269,6.59687212451718,0.839153787816031,3.81096277250981,3.80012141673615,4.73268764558634
"lag 1",4.48716708929169,0,3.10024836442062,0,2.90947226369826,0,1.5211760539496,0
"lag 2",2.66397392678118,5.28517203423417,0,3.06312536322093,0,3.00579736105374,0,1.58840644276461
"lag 0,1",5.54277116833146,5.66672719091093,8.25529097371691,10.3462636107133,5.66321761695326,2.06187617364321,5.96376944751137,6.21111732565078
"lag 0,1,2",6.75045605620107,6.77865668647883,9.55788489227962,9.98398783753601,5.72425767277673,3.406032497659,7.21280503762137,7.70166056432936
