"","Mean","Upper_CI","Lower_CI","dummy"
"North",549.758620689655,649.603981146728,449.913260232582,"a"
"Centre",306.103448275862,361.060911450963,251.145985100761,"b"
"South",197.034482758621,243.414372728878,150.654592788364,"c"
