"SLA","Date of Flowering","SLA","Date of Flowering","SLA","Date of Flowering","SLA","Date of Flowering"
"lag 0",0,1.08387424719876,0,4.32570760650015,0.223003991407495,2.47474203199727,0,0
"lag 1",2.55569600867875,0.760526084270168,8.577313524499,3.82204699455906,0.577998092783673,2.14637434513315,0.755041152232479,0.456913491571868
"lag 2",2.96193863563531,0,9.06854852842753,0,1.77268302830544,0,3.39141759535869,2.47981916041499
"lag 0,1",2.73008643232424,3.42765313245854,6.30272811178838,6.80258849871461,1.20801372050937,3.87562513238936,2.39242352245674,0.60246024539083
"lag 0,1,2",1.18607433484431,3.85895300612447,8.26158156116253,7.35399504323505,0,2.46546066880001,3.59821276718139,1.24491465200663
