"SLA","Date of Flowering","SLA","Date of Flowering","SLA","Date of Flowering","SLA","Date of Flowering"
"lag 0",6242.44535329821,5102.76773667624,6237.50073449912,5102.62147308413,6236.97012714052,5094.65497891812,6263.3322734796,5118.50936872534
"lag 1",6245.00104930688,5102.44438851331,6246.07804802361,5102.11781247218,6237.3251212419,5094.32661123126,6264.08731463184,5118.96628221691
"lag 2",6245.40729193384,5101.68386242904,6246.56928302754,5098.29576547763,6238.51980617742,5092.18023688613,6266.72369107496,5120.98918788575
"lag 0,1",6245.17543973053,5105.1115155615,6243.8034626109,5105.09835397634,6237.95513686963,5096.05586201852,6265.72469700206,5119.11182897073
"lag 0,1,2",6243.63142763305,5105.54281543517,6245.76231606028,5105.64976052086,6236.74712314912,5094.64569755493,6266.93048624679,5119.75428337734
