"SLA","Date of Flowering","SLA","Date of Flowering","SLA","Date of Flowering","SLA","Date of Flowering"
"lag 0",1.81333568460286,0.273185326573184,0.155870508984663,1.1816999528337,2.00473156823318,1.07967903313238,1.4360697785487,1.63778673820798
"lag 1",0.733669760011253,1.99365020756795,1.29933828318099,0.821993192055743,0,2.24161612166336,0,1.65354189506888
"lag 2",0,0,0,0,1.43797768275545,0,0.669977658139032,0
"lag 0,1",3.53136654246919,3.05191478073266,2.75742287112189,3.11952141237634,4.54743167857305,3.04337902717361,3.18316980528471,4.56568428011815
"lag 0,1,2",2.35370686942406,4.25809347413178,1.85291601837162,4.76966349533541,3.86352379085292,4.15209360308745,4.57654763130085,5.72728967433068
