"","ID_Year","Latitude","Longitude","Site_Family1","Order","Family","Block","Drought","Site","Site.Name","Year","Experiment_Date","SLA","Region","ID","Site_Lat","Lat","Long","Elevation","Lat_spei","Long_spei","lag0","lag1","lag2","lag3","lag01","lag012","lag0123","Site","MAT.weath","MAP.weath","CMD.weath","MAT.weath.1","MAP.weath.1","CMD.weath.1","MAT.weath.2","MAP.weath.2","CMD.weath.2","log.MAP.weath","log.MAP.weath.1","log.MAP.weath.2","MAT.clim","MAP.clim","CMD.clim","log.MAP.clim","CMDA_lag0","MATA_lag0","MAPA_lag0","CMDA_lag1","MATA_lag1","MAPA_lag1","CMDA_lag2","MATA_lag2","MAPA_lag2","CMDA_lag01","MATA_lag01","MAPA_lag01","CMDA_lag012","MATA_lag012","MAPA_lag012"
"1","S02_2010",32.89928,-116.5849,"S02_1",910,1,1,"D","1","Sweetwater River",2010,101,173.713017751479,"South","S02","1_32.9",32.89928,-116.5849,1168,32.75,-116.75,0.897903144359589,-0.9985431432724,-0.538657903671265,-1.6821722984314,-0.100639998912811,-0.639297902584076,-2.32147020101547,"S02",13.4083333333333,728,987,14.3,382,1141,13.7833333333333,402,1083,2.86213137931304,2.58206336291171,2.60422605308447,13.9913888888889,628.033333333333,1017.53333333333,2.79798269484953,-30.53333333333,-0.583055555555601,-0.0641486844635031,123.46666666667,0.3086111111111,0.215919331937825,65.46666666667,-0.208055555555601,0.193756641765064,92.93333333334,-0.137222222222251,0.0758853237371611,158.40000000001,-0.160833333333368,0.115175763079795
"2","S02_2010",32.89928,-116.5849,"S02_1",1412,1,2,"D","1","Sweetwater River",2010,NA,NA,"South","S02","1_32.9",32.89928,-116.5849,1168,32.75,-116.75,0.897903144359589,-0.9985431432724,-0.538657903671265,-1.6821722984314,-0.100639998912811,-0.639297902584076,-2.32147020101547,"S02",13.4083333333333,728,987,14.3,382,1141,13.7833333333333,402,1083,2.86213137931304,2.58206336291171,2.60422605308447,13.9913888888889,628.033333333333,1017.53333333333,2.79798269484953,-30.53333333333,-0.583055555555601,-0.0641486844635031,123.46666666667,0.3086111111111,0.215919331937825,65.46666666667,-0.208055555555601,0.193756641765064,92.93333333334,-0.137222222222251,0.0758853237371611,158.40000000001,-0.160833333333368,0.115175763079795
"3","S02_2010",32.89928,-116.5849,"S02_1",2582,1,3,"D","1","Sweetwater River",2010,NA,NA,"South","S02","1_32.9",32.89928,-116.5849,1168,32.75,-116.75,0.897903144359589,-0.9985431432724,-0.538657903671265,-1.6821722984314,-0.100639998912811,-0.639297902584076,-2.32147020101547,"S02",13.4083333333333,728,987,14.3,382,1141,13.7833333333333,402,1083,2.86213137931304,2.58206336291171,2.60422605308447,13.9913888888889,628.033333333333,1017.53333333333,2.79798269484953,-30.53333333333,-0.583055555555601,-0.0641486844635031,123.46666666667,0.3086111111111,0.215919331937825,65.46666666667,-0.208055555555601,0.193756641765064,92.93333333334,-0.137222222222251,0.0758853237371611,158.40000000001,-0.160833333333368,0.115175763079795
"4","S02_2010",32.89928,-116.5849,"S02_1",2891,1,4,"D","1","Sweetwater River",2010,100,240.547504025765,"South","S02","1_32.9",32.89928,-116.5849,1168,32.75,-116.75,0.897903144359589,-0.9985431432724,-0.538657903671265,-1.6821722984314,-0.100639998912811,-0.639297902584076,-2.32147020101547,"S02",13.4083333333333,728,987,14.3,382,1141,13.7833333333333,402,1083,2.86213137931304,2.58206336291171,2.60422605308447,13.9913888888889,628.033333333333,1017.53333333333,2.79798269484953,-30.53333333333,-0.583055555555601,-0.0641486844635031,123.46666666667,0.3086111111111,0.215919331937825,65.46666666667,-0.208055555555601,0.193756641765064,92.93333333334,-0.137222222222251,0.0758853237371611,158.40000000001,-0.160833333333368,0.115175763079795
"5","S02_2010",32.89928,-116.5849,"S02_1",384,1,1,"W","1","Sweetwater River",2010,103,NA,"South","S02","1_32.9",32.89928,-116.5849,1168,32.75,-116.75,0.897903144359589,-0.9985431432724,-0.538657903671265,-1.6821722984314,-0.100639998912811,-0.639297902584076,-2.32147020101547,"S02",13.4083333333333,728,987,14.3,382,1141,13.7833333333333,402,1083,2.86213137931304,2.58206336291171,2.60422605308447,13.9913888888889,628.033333333333,1017.53333333333,2.79798269484953,-30.53333333333,-0.583055555555601,-0.0641486844635031,123.46666666667,0.3086111111111,0.215919331937825,65.46666666667,-0.208055555555601,0.193756641765064,92.93333333334,-0.137222222222251,0.0758853237371611,158.40000000001,-0.160833333333368,0.115175763079795
"6","S02_2010",32.89928,-116.5849,"S02_1",724,1,2,"W","1","Sweetwater River",2010,97,207.809523809524,"South","S02","1_32.9",32.89928,-116.5849,1168,32.75,-116.75,0.897903144359589,-0.9985431432724,-0.538657903671265,-1.6821722984314,-0.100639998912811,-0.639297902584076,-2.32147020101547,"S02",13.4083333333333,728,987,14.3,382,1141,13.7833333333333,402,1083,2.86213137931304,2.58206336291171,2.60422605308447,13.9913888888889,628.033333333333,1017.53333333333,2.79798269484953,-30.53333333333,-0.583055555555601,-0.0641486844635031,123.46666666667,0.3086111111111,0.215919331937825,65.46666666667,-0.208055555555601,0.193756641765064,92.93333333334,-0.137222222222251,0.0758853237371611,158.40000000001,-0.160833333333368,0.115175763079795
"7","S02_2010",32.89928,-116.5849,"S02_1",1777,1,3,"W","1","Sweetwater River",2010,98,209.493365500603,"South","S02","1_32.9",32.89928,-116.5849,1168,32.75,-116.75,0.897903144359589,-0.9985431432724,-0.538657903671265,-1.6821722984314,-0.100639998912811,-0.639297902584076,-2.32147020101547,"S02",13.4083333333333,728,987,14.3,382,1141,13.7833333333333,402,1083,2.86213137931304,2.58206336291171,2.60422605308447,13.9913888888889,628.033333333333,1017.53333333333,2.79798269484953,-30.53333333333,-0.583055555555601,-0.0641486844635031,123.46666666667,0.3086111111111,0.215919331937825,65.46666666667,-0.208055555555601,0.193756641765064,92.93333333334,-0.137222222222251,0.0758853237371611,158.40000000001,-0.160833333333368,0.115175763079795
"8","S02_2010",32.89928,-116.5849,"S02_1",1964,1,4,"W","1","Sweetwater River",2010,104,281.052036199095,"South","S02","1_32.9",32.89928,-116.5849,1168,32.75,-116.75,0.897903144359589,-0.9985431432724,-0.538657903671265,-1.6821722984314,-0.100639998912811,-0.639297902584076,-2.32147020101547,"S02",13.4083333333333,728,987,14.3,382,1141,13.7833333333333,402,1083,2.86213137931304,2.58206336291171,2.60422605308447,13.9913888888889,628.033333333333,1017.53333333333,2.79798269484953,-30.53333333333,-0.583055555555601,-0.0641486844635031,123.46666666667,0.3086111111111,0.215919331937825,65.46666666667,-0.208055555555601,0.193756641765064,92.93333333334,-0.137222222222251,0.0758853237371611,158.40000000001,-0.160833333333368,0.115175763079795
"9","S02_2010",32.89928,-116.5849,"S02_2",1003,2,1,"D","1","Sweetwater River",2010,NA,236.884210526316,"South","S02","1_32.9",32.89928,-116.5849,1168,32.75,-116.75,0.897903144359589,-0.9985431432724,-0.538657903671265,-1.6821722984314,-0.100639998912811,-0.639297902584076,-2.32147020101547,"S02",13.4083333333333,728,987,14.3,382,1141,13.7833333333333,402,1083,2.86213137931304,2.58206336291171,2.60422605308447,13.9913888888889,628.033333333333,1017.53333333333,2.79798269484953,-30.53333333333,-0.583055555555601,-0.0641486844635031,123.46666666667,0.3086111111111,0.215919331937825,65.46666666667,-0.208055555555601,0.193756641765064,92.93333333334,-0.137222222222251,0.0758853237371611,158.40000000001,-0.160833333333368,0.115175763079795
"10","S02_2010",32.89928,-116.5849,"S02_2",1319,2,2,"D","1","Sweetwater River",2010,97,NA,"South","S02","1_32.9",32.89928,-116.5849,1168,32.75,-116.75,0.897903144359589,-0.9985431432724,-0.538657903671265,-1.6821722984314,-0.100639998912811,-0.639297902584076,-2.32147020101547,"S02",13.4083333333333,728,987,14.3,382,1141,13.7833333333333,402,1083,2.86213137931304,2.58206336291171,2.60422605308447,13.9913888888889,628.033333333333,1017.53333333333,2.79798269484953,-30.53333333333,-0.583055555555601,-0.0641486844635031,123.46666666667,0.3086111111111,0.215919331937825,65.46666666667,-0.208055555555601,0.193756641765064,92.93333333334,-0.137222222222251,0.0758853237371611,158.40000000001,-0.160833333333368,0.115175763079795
