"SLA","Date of Flowering"
"lag 0",1.44362577534048,2.95714394956667
"lag 1",9.53183507141875,0
"lag 2",5.33196192399555,3.68638211941652
"lag 0,1",5.99808287564883,1.91261722479612
"lag 0,1,2",0,0.526619329830282
