"SLA","Date of Flowering"
"lag 0",25445.0088889186,20043.7239163917
"lag 1",25453.0970982147,20040.7667724421
"lag 2",25448.8972250672,20044.4531545615
"lag 0,1",25449.5633460189,20042.6793896669
"lag 0,1,2",25443.5652631433,20041.2933917719
