"SLA","Date of Flowering"
"lag 0",25491.6683218852,20073.8261708035
"lag 1",25493.4966612529,20071.2799614207
"lag 2",25491.256573181,20070.9390706174
"lag 0,1",25493.6743784213,20071.69368938
"lag 0,1,2",25491.3845543002,20071.4191303854
