"SLA","Date of Flowering","SLA","Date of Flowering","SLA","Date of Flowering","SLA","Date of Flowering"
"lag 0",9111.36015074542,7308.98614098908,9134.16669835894,7329.03243866544,9103.77551895993,7298.93898093651,9117.35142676387,7313.21975158836
"lag 1",9115.84731783472,7305.25248895547,9131.83833886102,7322.43556654092,9105.84583743582,7295.128018164,9115.07248140108,7308.48706394277
"lag 2",9114.02412467221,7310.5376609897,9128.7380904966,7325.49869190414,9102.93636517212,7298.13381552506,9113.55130534713,7310.07547038554
"lag 0,1",9116.90292191376,7310.91921614638,9136.99338147032,7332.78183015163,9108.59958278907,7297.18989433765,9119.51507479464,7314.69818126842
"lag 0,1,2",9118.11060680163,7312.03114564194,9138.29597538888,7332.41955437846,9108.66062284489,7298.53405066166,9120.76411038475,7316.1887245071
