"SLA_SPEI","Date of Flowering_SPEI","SLA_CMDA","Date of Flowering_CMDA","SLA_MAPA","Date of Flowering_MAPA","SLA_MATA","Date of Flowering_MATA"
"lag 0",1.29972537892081,0.0142550928358105,1.86257667425434,0.792059815043103,0.232760652631441,1.11727511253866,0.00158723545473549,0.520140011683907
"lag 1",2.17028484541333,0.447842209001465,1.8512184030742,0,0.417259836817266,0,0.638359134848542,0.584578013349528
"lag 2",0,0.289619957835384,0,0.434041085909485,0,0.666093301442743,0,0
"lag 0,1",1.85941670156262,1.02335470222351,2.44066348430533,1.13201910265616,1.29092236388533,1.60231089967965,1.15480016638503,1.69015646298112
"lag 0,1,2",0.852211951128083,0,1.33389852135224,1.89613792593173,1.62811676855745,2.35242402999938,0.821606581866035,2.25511785575145
